ID,site.ID,region,region.ID,subregion,subregion.ID,year,season.phase,season.phase.ID,type,type.ID,sex,sex.ID,INF status,Affiliation,State,City,Zipcode,Date Collected,Date Sampled,Date Processed,Method
11308,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,,,0,,PA,Mt Pleasant,15666,8/11/2011,8/28/2011,9/4/2012,tape
11309,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,,,0,,PA,Mt Pleasant,15666,8/11/2011,8/28/2011,9/4/2012,tape
11306,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,F,1,1,,PA,Mt Pleasant,15666,8/11/2011,8/28/2011,9/4/2012,tape
11288,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,M,2,1,,PA,Mt Pleasant,15666,8/11/2011,8/25/2011,9/4/2012,tape
11311,33,Summer-breeding,1,Northeast,1,1,August,2,L,1,M,2,1,,PA,Mt Pleasant,15666,8/11/2011,8/X/2011,9/4/2012,tape
15292,33,Summer-breeding,1,Northeast,1,2,August,2,A,2,F,1,0,,PA,Mt. Pleasant,15666,8/12/2012,8/12/2012,1/23/2013,tape
15293,33,Summer-breeding,1,Northeast,1,2,August,2,A,2,F,1,0,,PA,Mt. Pleasant,15666,8/15/2012,8/15/2012,1/23/2013,tape
15295,33,Summer-breeding,1,Northeast,1,2,August,2,A,2,F,1,0,,PA,Mt. Pleasant,15666,8/19/2012,8/19/2012,1/23/2013,tape
15311,33,Summer-breeding,1,Northeast,1,2,August,2,A,2,F,1,0,,PA,Mt. Pleasant,15666,8/27/2012,8/27/2012,1/24/2013,tape
15318,33,Summer-breeding,1,Northeast,1,2,August,2,A,2,F,1,0,,PA,Mt. Pleasant,15666,8/28/2012,8/28/2012,1/24/2013,tape
15287,33,Summer-breeding,1,Northeast,1,2,JuneJuly,1,A,2,F,1,0,,PA,Mt. Pleasant,15666,7/25/2012,7/25/2012,1/23/2013,tape
15350,33,Summer-breeding,1,Northeast,1,2,Sept,3,A,2,F,1,0,,PA,Mt. Pleasant,15666,9/4/2012,9/4/2012,1/24/2013,tape
15381,33,Summer-breeding,1,Northeast,1,2,Sept,3,A,2,F,1,0,,PA,Mt. Pleasant,15666,9/28/2012,9/28/2012,1/24/2013,tape
15384,33,Summer-breeding,1,Northeast,1,2,Sept,3,A,2,F,1,0,,PA,Mt. Pleasant,15666,9/28/2012,9/28/2012,1/24/2013,tape
15385,33,Summer-breeding,1,Northeast,1,2,Sept,3,A,2,F,1,0,,PA,Mt. Pleasant,15666,9/28/2012,9/28/2012,1/24/2013,tape
15390,33,Summer-breeding,1,Northeast,1,2,Sept,3,A,2,F,1,0,,PA,Mt. Pleasant,15666,9/29/2012,9/29/2012,1/24/2013,tape
15391,33,Summer-breeding,1,Northeast,1,2,Sept,3,A,2,F,1,0,,PA,Mt. Pleasant,15666,9/29/2012,9/29/2012,1/24/2013,tape
15398,33,Summer-breeding,1,Northeast,1,2,Sept,3,A,2,F,1,0,,PA,Mt. Pleasant,15666,10/1/2012,10/1/2012,1/24/2013,tape
15399,33,Summer-breeding,1,Northeast,1,2,Sept,3,A,2,F,1,0,,PA,Mt. Pleasant,15666,10/1/2012,10/1/2012,1/24/2013,tape
15400,33,Summer-breeding,1,Northeast,1,2,Sept,3,A,2,F,1,0,,PA,Mt. Pleasant,15666,10/1/2012,10/1/2012,1/24/2013,tape
15290,33,Summer-breeding,1,Northeast,1,2,August,2,L,1,F,1,0,,PA,Mt. Pleasant,15666,7/18/2012,8/1/2012,1/23/2013,tape
15296,33,Summer-breeding,1,Northeast,1,2,August,2,L,1,F,1,0,,PA,Mt. Pleasant,15666,7/28/2012,8/20/2012,1/23/2013,tape
15297,33,Summer-breeding,1,Northeast,1,2,August,2,L,1,F,1,0,,PA,Mt. Pleasant,15666,7/28/2012,8/22/2012,1/23/2013,tape
15298,33,Summer-breeding,1,Northeast,1,2,August,2,L,1,F,1,0,,PA,Mt. Pleasant,15666,7/14/2012,8/22/2012,1/23/2013,tape
15299,33,Summer-breeding,1,Northeast,1,2,August,2,L,1,F,1,0,,PA,Mt. Pleasant,15666,8/2/2012,8/22/2012,1/23/2013,tape
15303,33,Summer-breeding,1,Northeast,1,2,August,2,L,1,F,1,0,,PA,Mt. Pleasant,15666,8/2/2012,8/24/2012,1/24/2013,tape
15305,33,Summer-breeding,1,Northeast,1,2,August,2,L,1,F,1,0,,PA,Mt. Pleasant,15666,8/2/2012,8/25/2012,1/24/2013,tape
15306,33,Summer-breeding,1,Northeast,1,2,August,2,L,1,F,1,0,,PA,Mt. Pleasant,15666,8/2/2012,8/25/2012,1/24/2013,tape
15307,33,Summer-breeding,1,Northeast,1,2,August,2,L,1,F,1,0,,PA,Mt. Pleasant,15666,8/2/2012,8/26/2012,1/24/2013,tape
15309,33,Summer-breeding,1,Northeast,1,2,August,2,L,1,F,1,0,,PA,Mt. Pleasant,15666,8/12/2012,8/26/2012,1/24/2013,tape
15320,33,Summer-breeding,1,Northeast,1,2,August,2,L,1,F,1,0,,PA,Mt. Pleasant,15666,2012,8/29/2012,1/24/2013,tape
15321,33,Summer-breeding,1,Northeast,1,2,August,2,L,1,F,1,0,,PA,Mt. Pleasant,15666,2012,8/30/2012,1/24/2013,tape
15324,33,Summer-breeding,1,Northeast,1,2,August,2,L,1,F,1,0,,PA,Mt. Pleasant,15666,2012,8/31/2012,1/24/2013,tape
